ID,Label,synonyms,definition,references
TMN:0000027,10x chromium ATAC-seq,10x chromium ATAC sequencing assay|10x chromium ATAC-seq assay,An ATAC-seq assay that involves use of the 10x sequencing technology assay for transposase-accessible chromatin using sequencing (ATAC-seq).,
TMN:0000019,anterograde tracing assay,,An assay wherein axon projections are traced from their source (cell body or soma) to their point of termination (synapse).,
TMN:0000023,composite in situ imaging,CISI,A fluorescence microscopy assay wherein fluorescence in situ hybridization is leveraged with multiplexed analysis that uses each channel to measure the composite (sum) abundances of multiple genes in each channel and decompresses and determines individual gene level.,
TMN:0000018,cre-dependent anterograde tracing assay,,A anterograde tracing assay that uses a Cre recombinase-dependent as a tracer.,
TMN:0000000,droplet-based single-cell RNA sequencing assay,Dropseq,"A sequencing assay that analyzes mRNA transcripts from droplets of individual cells. The droplets are compartmentalized via a microfluidic device. After the cells are compartmentalized, cells in droplets are lysed and the released mRNA hybridizes to the oligo(dT) tract of the primer beads. Then the droplets are pooled and broken to release the beads which are then isolated and reverse-transcribed with template switching. The resulting cDNA strands are PCR-amplified and the sequencing adapters are added. The barcoded mRNA samples are then sequenced.",
ERO:0001168,fluorescence in situ hybridization assay,FISH,A sequencing assay that uses fluorescent probes that bind to parts of a nucleic acid sequence that have a high degree of sequence complementarity. Fluorescence microscopy can be used to find out where the fluorescent probes are bound on the chromosomes.,
TMN:0000002,fluorescence micro-optical sectioning tomography assay,fMOST,An imaging assay that uses micro-optical sectioning tomography technology combined with fluorescence molecular labeling of neuronal projections.,
TMN:0000017,light sheet fluorescence microscopy assay,light sheet microscopy,A fluorescence microscopy assay that uses a laser light-sheet to illuminate a region of a sample that has been treated to excite fluorescently.,
TMN:0000005,mosaicism with repeat frameshift genetic sparse labeling assay,MORF genetic sparse labeling,A neuron morphology assay that enables sparse and stochastic labeling of genetically-defined neurons. MORF-labeled neurons are digitally reconstructed using a program (G-Cut).,
TMN:0000007,mouselight,,A serial two photon tomography assay that produces images of mouse brains with sufficient detail to represent axons of individual neurons.,
TMN:0000008,multi-electrode extracellular electrophysiology assay,,An electrophysiology assay that employs many electrodes to record extracellular field potentials.,
TMN:0000003,multiplexed error-robust fluorescence in situ hybridization assay,MERFISH,An imaging assay that measures the copy number and spatial distribution of hundreds to thousands of RNA species in single cells.,
TMN:0000004,neuron morphology assay,3D structure determination assay of neuron,A 3D structure determination assay that determines the morphology of a neuron.,
TMN:0000009,neuron morphology reconstruction assay,,"A neuron morphology assay where the morphology or structure of a neuron is represented through through another medium. Often, this assay is a combination of different assays (sparse labeling, fluorescent labeling, fMOST).",
TMN:0000020,optical coherence tomography assay,OCT,"An imaging assay that has as an output label-free, cross-sectional imaging of biological tissue microstructure using tissue backscattering properties.",
TMN:0000010,patch clamp single-cell RNA sequencing assay,patch clamp sequencing assay|patch-seq,A single-cell RNA sequencing assay wherein a patch clamp recording is taken from a neuron and then scRNA sequencing is performed on the cell soma.,
TMN:0000011,retrograde tracing assay,retrograde tracing,An assay wherein a substance is taken up by an axon terminal and transported toward the soma to mark (or trace) some part of a cell.,
TMN:0000012,retrograde transsynaptic tracing assay,,A retrograde tracing assay that traces the neural connections from a synapse to a soma allowing the mapping of connections between neurons in a structure and a target in the brain.,
TMN:0000026,sci-ATAC-seq3,3-level sci-ATAC-seq|3-level single-cell combinatorial indexing ATAC sequencing assay,An ATAC-seq assay that involves single-cell combinatorial indexing at three levels.,
TMN:0000025,sci-RNA-seq3,3-level sci-RNA-seq|3-level single-cell combinatorial indexing RNA sequencing assay,A RNA sequencing assay that involves three levels of indexing.,
TMN:0000013,sequential fluorescence in situ hybridization assay,seqFISH,A fluorescence in situ hybridization assay where transcripts are labeled with fluorescent probes in sequential rounds of hybridization to read out the temporal barcode for each transcript. The temporal barcodes can then be decoded to uniquely identify the RNA transcripts present in the sample. RNA can be identified directly in a variety of samples from extracted RNA to tissues.,
TMN:0000006,serial two-photon tomography,STPT,A fluorescence microscopy that generates high-throughput flourescence imaging of mouse brains by integrating two-photon microscopy and tissue sectioning. Serial two-photon tomography generates high-resolution datasets.,
TMN:0000022,single-nucleus chromatin accessibility and mRNA expression sequencing assay,SNARE-seq|SNARE-seq assay|SNARE-seq2|SNARE-seq2 assay,"A single-cell RNA sequencing assay that involves the isolation of single nuclei and open chromatin tagmentation in the isolated nuclei using a transposase. The tagmented nuclei are then encapsulated in a droplet including both an oligo-dT-containing barcoded bead and a splint oligonucleotide, which links the tagmented gDNA fragments to the bead, enabling the bead to capture both mRNAs and open chromatin fragments. After mRNAs and gDNA fragments are released from the bead by heating, RT and PCR amplification are performed to generate a library of cDNA and open chromatin gDNA fragments.",
TMN:0000014,switching mechanism at the 5' end of RNA template sequencing assay,SMART seq|SMARTseq,"A single cell sequencing assay wherein the target cells are lysed, and the RNA is hybridized to an oligo(dT)-containing primer. The first strand of the cDNA is synthesized with the addition of a few untemplated C nucleotides. This poly(C) overhang is added exclusively to full-length transcripts. An oligonucleotide primer is hybridized to the poly(C) overhang and used to synthesize the second strand. Full-length cDNAs are PCR-amplified to obtain nanogram amounts of DNA. The PCR products are purified for sequencing.",
TMN:0000024,switching mechanism at the 5' end of RNA template sequencing assay 2,SMARTseq2,A switching mechanism at the 5' end of RNA template sequencing assay that allows the generation of full-length cDNA and sequencing libraries by using standard reagents.,
TMN:0000015,switching mechanism at the 5' end of RNA template sequencing assay v4,SMARTseq v4,A switching mechanism at the 5' end of RNA template sequencing assay that is the fourth version of such an assay.,
TMN:0000016,tracing the relationship between input and output study design,TRIO tracing,A study design in which complementary viruses are to be injected into brain regions to monosynaptically label inputs to a specific projection neuron population.,
TMN:0000021,volumetric imaging with synchronized on-the-fly oblique-scan and readout assay,VISoR|VISoR assay,"A light sheet microscopy assay that combines synchronized scanning illumination and oblique imaging over cleared, thick tissue sections in smooth motion that produces a 3D image of a brain.",
OBI:0002039,assay for transposase-accessible chromatin using sequencing,ATAC-seq|ATAC-seq assay,"An assay to capture the location of open chromatin, DNA-binding proteins, individual nucleosomes and chromatin compaction at nucleotide resolution by Tn5 transposase insertion.",PMID:24097267
ERO:0000634,calcium imaging assay,Ca imaging|Ca2+ imaging|Ca imaging assay|Ca2+ imaging assay,"An imaging assay that is designed to show the calcium (Ca2+) levels of a tissue or medium.",
ERO:0000200,confocal microscopy,CLSM|confocal scanning microscopy,"A microscopy technique used in optimal imaging that increases optical resolution and contrast of a micrograph by using point illumination and a spatial pinhole to eliminate out-of-focus light in specimens that are thicker than the focal plane. It enables the reconstruction of three-dimensional structures from the obtained images.",
